gsis_id,role
00-0036982,EDGE
00-0036986,CB
00-0036987,CB
00-0036989,EDGE
00-0036990,LB
00-0036991,UNKNOWN
00-0036992,CB
00-0036993,S
00-0036994,LB
00-0036995,EDGE
00-0036996,CB
00-0036998,S
00-0037000,LB
00-0037003,LB
00-0037004,UNKNOWN
00-0037008,CB
00-0033898,S
00-0034769,IDL
00-0035098,S
00-0035754,EDGE
00-0036148,IDL
00-0037034,CB
00-0037043,EDGE
00-0037046,IDL
00-0037051,IDL
00-0037052,IDL
00-0037057,EDGE
00-0037061,EDGE
00-0037073,IDL
00-0037074,LB
00-0037075,IDL
00-0037080,EDGE
00-0037082,EDGE
00-0037083,EDGE
00-0037084,EDGE
00-0037086,UNKNOWN
00-0037090,S
00-0037094,IDL
00-0037095,CB
00-0037096,S
00-0037106,CB
00-0037109,LB
00-0037112,UNKNOWN
00-0037129,CB
00-0037130,S
00-0037132,UNKNOWN
00-0037136,CB
00-0037137,CB
00-0037141,S
00-0037153,LB
00-0037155,S
00-0037168,UNKNOWN
00-0037175,CB
00-0037179,EDGE
00-0037181,IDL
00-0037190,CB
00-0037191,CB
00-0037192,EDGE
00-0037193,S
00-0037195,CB
00-0037198,CB
00-0037202,EDGE
00-0037203,IDL
00-0037205,S
00-0037208,LB
00-0037222,S
00-0037235,EDGE
00-0037236,EDGE
00-0037237,CB
00-0037242,CB
00-0037244,LB
00-0037245,S
00-0037246,S
00-0037249,EDGE
00-0037251,EDGE
00-0037253,CB
00-0037254,LB
00-0037259,LB
00-0037261,UNKNOWN
00-0037263,HYBRID
00-0037264,S
00-0037268,CB
00-0037269,IDL
00-0037270,IDL
00-0037271,LB
00-0037272,UNKNOWN
00-0037274,IDL
00-0037275,CB
00-0037277,UNKNOWN
00-0037280,IDL
00-0037281,LB
00-0037283,IDL
00-0037288,CB
00-0037289,LB
00-0037291,UNKNOWN
00-0037293,LB
00-0037294,IDL
00-0037296,CB
00-0037298,IDL
00-0037301,S
00-0037303,IDL
00-0037307,CB
00-0037310,EDGE
00-0037311,UNKNOWN
00-0037312,LB
00-0037313,CB
00-0037314,EDGE
00-0037315,EDGE
00-0037316,LB
00-0037317,UNKNOWN
00-0037318,LB
00-0037319,UNKNOWN
00-0037320,CB
00-0037321,CB
00-0037330,EDGE
00-0037332,S
00-0037336,UNKNOWN
00-0037348,UNKNOWN
00-0037353,CB
00-0037354,S
00-0037356,IDL
00-0037363,IDL
00-0037364,EDGE
00-0037373,CB
00-0037375,IDL
00-0037377,S
00-0037383,LB
00-0037384,CB
00-0037387,UNKNOWN
00-0037392,IDL
00-0037395,CB
00-0037415,CB
00-0037429,UNKNOWN
00-0037431,EDGE
00-0037445,IDL
00-0037447,EDGE
00-0037457,LB
00-0037459,IDL
00-0037461,S
00-0037468,S
00-0037469,LB
00-0037474,EDGE
00-0037475,UNKNOWN
00-0037481,LB
00-0037487,UNKNOWN
00-0037488,S
00-0037491,LB
00-0037493,S
00-0037499,EDGE
00-0037503,LB
00-0037512,S
00-0037515,EDGE
00-0037516,UNKNOWN
