season,player,player_id,team,position,position_group,player_game_count,snap_counts_offense,snap_counts_pass_block,snap_counts_run_block,grades_offense,grades_pass_block,grades_run_block,pressures_allowed,sacks_allowed,hits_allowed,hurries_allowed,block_percent,pass_block_percent,pbe,penalties,declined_penalties
2023,Jordan McFadden,77578,LAC,G,G,9,163,103,59,52.0,54.0,49.5,5,1,2,2,99.4,99.0,96.9,0,0
2023,Nate Herbig,28844,PIT,G,G,3,156,91,65,67.6,48.5,71.9,10,1,0,9,100.0,100.0,93.7,0,0
2023,Calvin Anderson,46247,NE,T,T,2,154,110,44,44.6,38.4,49.1,9,1,2,6,100.0,100.0,95.2,1,0
2023,Blake Hance,46301,JAX,T,T,11,152,84,66,28.0,10.0,49.7,11,0,5,6,98.7,97.7,93.0,1,0
2023,Wes Schweitzer,10829,NYJ,G,G,3,149,99,50,52.7,60.0,47.0,5,1,0,4,100.0,100.0,96.8,1,0
2023,Dennis Daley,60063,ARI,G,G,3,144,95,49,38.4,30.9,42.3,7,2,2,3,100.0,100.0,94.9,0,0
2023,Trent Scott,24481,WAS,T,T,6,138,89,49,59.8,55.2,77.3,10,0,1,9,100.0,100.0,93.9,3,0
2023,Matt Peart,46179,NYG,T,T,7,133,91,42,42.9,55.8,34.0,6,0,1,5,100.0,100.0,96.4,2,1
2023,Olusegun Oluwatimi,98581,SEA,C,C,4,128,70,58,53.1,75.5,50.1,1,0,0,1,100.0,100.0,99.3,1,0
2023,Cam Fleming,8775,DEN,T,T,6,126,80,46,59.4,71.3,44.8,3,0,1,2,100.0,100.0,98.0,1,0
2023,Nicholas Petit-Frere,82003,TEN,T,T,3,117,66,51,35.5,27.8,55.4,11,3,5,3,100.0,100.0,87.7,4,1
2023,Duane Brown,4340,NYJ,T,T,4,111,68,42,47.9,38.3,53.5,9,2,3,4,99.1,98.6,91.3,1,1
2023,Dan Skipper,12307,DET,G,G,14,112,38,63,60.1,58.3,67.6,3,1,1,1,90.2,77.6,94.1,1,0
2023,Tremayne Anchrum Jr.,41813,LA,G,G,5,96,58,38,46.8,53.4,43.3,2,1,0,1,100.0,100.0,97.2,1,0
2023,Jordan Meredith,60235,LV,G,G,8,93,56,37,60.5,56.7,60.1,2,0,1,1,100.0,100.0,98.2,0,0
2023,Shane Lemieux,28149,NYG,G,G,2,91,67,24,34.3,26.1,39.3,6,1,0,5,100.0,100.0,94.4,0,0
2023,Dan Feeney,11826,CHI,C,C,4,90,40,50,44.8,44.8,45.7,3,1,0,2,100.0,100.0,94.6,1,0
2023,Matt Nelson,48584,DET,T,T,3,85,49,36,58.0,71.6,53.9,2,0,1,1,100.0,100.0,97.9,1,0
2023,Chris Glaser,62780,NYJ,G,G,3,83,51,32,45.5,59.5,52.6,2,1,0,1,100.0,100.0,96.7,2,0
2023,Brady Christensen,51985,CAR,G,G,1,77,46,31,56.7,51.4,57.5,4,0,0,4,100.0,100.0,95.2,0,0
2023,Justin McCray,9234,CAR,G,G,3,77,41,36,41.0,39.5,49.2,3,0,0,3,100.0,100.0,96.1,2,0
2023,Cody Ford,39805,CIN,G,G,12,78,31,45,53.9,41.5,58.1,2,0,0,2,97.4,93.9,96.7,0,0
2023,Quinn Bailey,46669,DEN,G,G,15,77,13,62,42.0,79.3,42.5,0,0,0,0,97.4,86.7,100.0,1,0
2023,Brett Toth,46848,CAR,G,G,1,74,44,30,44.1,32.3,49.0,4,1,0,3,100.0,100.0,93.4,1,0
